"","OPR_DT","OPR_HR","OPR_INTERVAL","NOMOGRAM_ID","CONSTRAINT_CAUSE","PRC","MARKET_RUN_ID"
"1","2024-05-02",19,0,"22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1","SD1 LCOCHS-GR-MIGUEL 69",126.21172,"HASP"
"2","2024-05-02",9,0,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",21.34353,"HASP"
"3","2024-05-02",10,0,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",82.53822,"HASP"
"4","2024-05-02",11,0,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",76.19351,"HASP"
"5","2024-05-02",12,0,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",87.25019,"HASP"
"6","2024-05-02",13,0,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",90.80209,"HASP"
"7","2024-05-02",14,0,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",99.64808,"HASP"
"8","2024-05-02",15,0,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",89.95469,"HASP"
"9","2024-05-02",16,0,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",88.96714,"HASP"
"10","2024-05-02",17,0,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",85.40532,"HASP"
"11","2024-05-02",10,0,"24701_KRAMER  _230_24601_VICTOR  _230_BR_1 _1","Base Case",1.01889,"HASP"
"12","2024-05-02",11,0,"24701_KRAMER  _230_24601_VICTOR  _230_BR_1 _1","Base Case",1.02371,"HASP"
"13","2024-05-02",14,0,"24701_KRAMER  _230_24601_VICTOR  _230_BR_1 _1","Base Case",45.75288,"HASP"
"14","2024-05-02",8,0,"30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _2","PG1 LOSBNS-GATES_3 500",40.71851,"HASP"
"15","2024-05-02",11,0,"30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _2","PG1 LOSBNS-GATES_3 500",71.14738,"HASP"
"16","2024-05-02",12,0,"30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _2","PG1 LOSBNS-GATES_3 500",59.25574,"HASP"
"17","2024-05-02",13,0,"30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _2","PG1 LOSBNS-GATES_3 500",53.11398,"HASP"
"18","2024-05-02",14,0,"30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _2","PG1 LOSBNS-GATES_3 500",44.77971,"HASP"
"19","2024-05-02",15,0,"30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _2","PG1 LOSBNS-GATES_3 500",55.81036,"HASP"
"20","2024-05-02",16,0,"30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _2","PG1 LOSBNS-GATES_3 500",55.13623,"HASP"
"21","2024-05-02",17,0,"30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _2","PG1 LOSBNS-GATES_3 500",60.08858,"HASP"
