"OPR_HR","TI_ID","TI_DIRECTION","SHADOW_PRC"
8,"ME-JF 138","I",19.96
9,"ME-JF 138","I",46.82
10,"ME-JF 138","I",50.73
11,"ME-JF 138","I",45.53
12,"ME-JF 138","I",49.16
13,"ME-JF 138","I",54.14
14,"ME-JF 138","I",39.58
15,"ME-JF 138","I",39.41
16,"ME-JF 138","I",30.61
17,"ME-JF 138","I",35.14
18,"ME-JF 138","I",24.21
9,"NOB_ITC","E",-10.31
10,"NOB_ITC","E",-14.01
11,"NOB_ITC","E",-18.43
12,"NOB_ITC","E",-19.06
13,"NOB_ITC","E",-18.69
14,"NOB_ITC","E",-18.71
15,"NOB_ITC","E",-18.38
16,"NOB_ITC","E",-18.32
