"OPR_HR","NOMOGRAM_ID","SHADOW_PRC"
9,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1",84.83
10,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1",34.9
11,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1",67.19
12,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1",102.15
13,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1",125.84
14,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1",126.16
15,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1",168.26
16,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1",90.64
17,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1",111.25
9,"24701_KRAMER  _230_24601_VICTOR  _230_BR_1 _1",21.29
10,"24701_KRAMER  _230_24601_VICTOR  _230_BR_1 _1",18.91
11,"24701_KRAMER  _230_24601_VICTOR  _230_BR_1 _1",2.3
13,"24701_KRAMER  _230_24601_VICTOR  _230_BR_1 _1",4.25
14,"24701_KRAMER  _230_24601_VICTOR  _230_BR_1 _1",10.39
15,"24701_KRAMER  _230_24601_VICTOR  _230_BR_1 _1",3.09
16,"24701_KRAMER  _230_24601_VICTOR  _230_BR_1 _1",2.56
17,"24701_KRAMER  _230_24601_VICTOR  _230_BR_1 _1",31.55
18,"24701_KRAMER  _230_24601_VICTOR  _230_BR_1 _1",17.42
18,"24731_INYOKERN_115_24787_RNDSBTAP_115_BR_1 _1",51.4
17,"30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _2",8.62
18,"30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _2",15.97
8,"30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1",11.66
11,"30055_GATES1  _500_30900_GATES   _230_XF_11_P",36.09
12,"30055_GATES1  _500_30900_GATES   _230_XF_11_P",23.39
13,"30055_GATES1  _500_30900_GATES   _230_XF_11_P",27.88
14,"30055_GATES1  _500_30900_GATES   _230_XF_11_P",24.9
15,"30055_GATES1  _500_30900_GATES   _230_XF_11_P",29.56
16,"30055_GATES1  _500_30900_GATES   _230_XF_11_P",25.78
8,"30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1",273.57
9,"30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1",391.88
10,"30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1",342.66
11,"30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1",161.95
12,"30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1",183.25
13,"30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1",164.69
14,"30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1",159.99
15,"30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1",140.5
16,"30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1",150.59
17,"30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1",188.73
18,"30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1",162.82
8,"30790_PANOCHE _230_30900_GATES   _230_BR_2 _1",74.88
9,"30790_PANOCHE _230_30900_GATES   _230_BR_2 _1",180.19
10,"30790_PANOCHE _230_30900_GATES   _230_BR_2 _1",196.66
11,"30790_PANOCHE _230_30900_GATES   _230_BR_2 _1",134.35
12,"30790_PANOCHE _230_30900_GATES   _230_BR_2 _1",132.25
13,"30790_PANOCHE _230_30900_GATES   _230_BR_2 _1",126.84
14,"30790_PANOCHE _230_30900_GATES   _230_BR_2 _1",120.74
15,"30790_PANOCHE _230_30900_GATES   _230_BR_2 _1",108.88
16,"30790_PANOCHE _230_30900_GATES   _230_BR_2 _1",116.06
17,"30790_PANOCHE _230_30900_GATES   _230_BR_2 _1",121.61
18,"30790_PANOCHE _230_30900_GATES   _230_BR_2 _1",46.77
1,"31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11",14.22
2,"31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11",12.94
3,"31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11",12.81
4,"31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11",12.54
5,"31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11",13.38
6,"31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11",20.83
7,"31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11",19.25
8,"31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11",19.89
9,"31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11",12.32
10,"31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11",4.86
11,"31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11",1.39
12,"31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11",0.15
17,"31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11",2.65
18,"31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11",5.48
19,"31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11",14.22
20,"31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11",22.91
21,"31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11",23.12
22,"31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11",22.37
23,"31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11",15.85
24,"31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11",13.36
9,"32314_SMRTSVLE_60.0_32316_YUBAGOLD_60.0_BR_1 _1",8.2
13,"32314_SMRTSVLE_60.0_32316_YUBAGOLD_60.0_BR_1 _1",5.27
2,"33516_RIPON J _115_33514_MANTECA _115_BR_1 _1",10.98
3,"33516_RIPON J _115_33514_MANTECA _115_BR_1 _1",17.6
6,"33516_RIPON J _115_33514_MANTECA _115_BR_1 _1",18.38
1,"33916_CURTISS _115_33917_FBERBORD_115_BR_1 _1",3.74
2,"33916_CURTISS _115_33917_FBERBORD_115_BR_1 _1",4.96
3,"33916_CURTISS _115_33917_FBERBORD_115_BR_1 _1",1.07
4,"33916_CURTISS _115_33917_FBERBORD_115_BR_1 _1",0.62
5,"33916_CURTISS _115_33917_FBERBORD_115_BR_1 _1",0.44
10,"33916_CURTISS _115_33917_FBERBORD_115_BR_1 _1",0.87
11,"33916_CURTISS _115_33917_FBERBORD_115_BR_1 _1",3.85
15,"33916_CURTISS _115_33917_FBERBORD_115_BR_1 _1",0.73
16,"33916_CURTISS _115_33917_FBERBORD_115_BR_1 _1",8.28
17,"33916_CURTISS _115_33917_FBERBORD_115_BR_1 _1",5.43
18,"33916_CURTISS _115_33917_FBERBORD_115_BR_1 _1",3.28
23,"33916_CURTISS _115_33917_FBERBORD_115_BR_1 _1",4.97
24,"33916_CURTISS _115_33917_FBERBORD_115_BR_1 _1",1.97
1,"33932_MELONES _115_33936_MELNS JB_115_BR_1 _1",1.63
4,"33932_MELONES _115_33936_MELNS JB_115_BR_1 _1",0.17
8,"33932_MELONES _115_33936_MELNS JB_115_BR_1 _1",4.83
9,"33932_MELONES _115_33936_MELNS JB_115_BR_1 _1",0.67
11,"33932_MELONES _115_33936_MELNS JB_115_BR_1 _1",2.65
12,"33932_MELONES _115_33936_MELNS JB_115_BR_1 _1",10.12
13,"33932_MELONES _115_33936_MELNS JB_115_BR_1 _1",10.34
14,"33932_MELONES _115_33936_MELNS JB_115_BR_1 _1",12.88
15,"33932_MELONES _115_33936_MELNS JB_115_BR_1 _1",12.59
17,"33932_MELONES _115_33936_MELNS JB_115_BR_1 _1",9.74
18,"33932_MELONES _115_33936_MELNS JB_115_BR_1 _1",1.89
19,"33932_MELONES _115_33936_MELNS JB_115_BR_1 _1",35.99
20,"33932_MELONES _115_33936_MELNS JB_115_BR_1 _1",10.14
24,"33932_MELONES _115_33936_MELNS JB_115_BR_1 _1",6.92
1,"33936_MELNS JB_115_33951_VLYHMTP1_115_BR_1 _1",100.06
2,"33936_MELNS JB_115_33951_VLYHMTP1_115_BR_1 _1",79.54
3,"33936_MELNS JB_115_33951_VLYHMTP1_115_BR_1 _1",84.03
4,"33936_MELNS JB_115_33951_VLYHMTP1_115_BR_1 _1",86.66
