"NOMOGRAM_ID","SHADOW_PRC","HE_INT"
"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1",1389.66,"11-0"
"24701_KRAMER  _230_24601_VICTOR  _230_BR_1 _1",7.03,"11-0"
"30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _2",66.46,"11-0"
"30055_GATES1  _500_30900_GATES   _230_XF_11_P",71.97,"11-0"
"31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11",43.03,"11-0"
"33951_VLYHMTP1_115_33516_RIPON J _115_BR_1 _1",119.19,"11-0"
"33962_SALDO TP_115_33961_TCHRT_T1_115_BR_1 _1",113.8,"11-0"
"34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1",95.16,"11-0"
"34418_KINGSBRG_115_34405_FRWT TAP_115_BR_1 _1",45.34,"11-0"
"34471_SNJQJCT _70.0_34469_GFFNJCT _70.0_BR_1 _1",10.57,"11-0"
"34882_SAN EMDO_70.0_34904_OLD RIVR_70.0_BR_1 _1",133.47,"11-0"
"7430_KTTLM_GATES_70_1",-111.62,"11-0"
"7450_CUYAMS_TAFT_70_1",-27.7,"11-0"
"7690-INYOKN_VOLTAGE_EX_NG",-16.15,"11-0"
"TL687_BREGGO_NAROWS",-32.27,"11-0"
