"OPR_HR","NOMOGRAM_ID","SHADOW_PRC","HE_INT"
10,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1",83.62,"10-3"
10,"30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _2",59.77,"10-3"
10,"30055_GATES1  _500_30900_GATES   _230_XF_11_P",91.59,"10-3"
10,"31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11",43.84,"10-3"
10,"33951_VLYHMTP1_115_33516_RIPON J _115_BR_1 _1",121.46,"10-3"
10,"33962_SALDO TP_115_33961_TCHRT_T1_115_BR_1 _1",114.64,"10-3"
10,"34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1",92.04,"10-3"
10,"34418_KINGSBRG_115_34405_FRWT TAP_115_BR_1 _1",25.35,"10-3"
10,"34882_SAN EMDO_70.0_34904_OLD RIVR_70.0_BR_1 _1",53.7,"10-3"
10,"7430_KTTLM_GATES_70_1",-104.49,"10-3"
10,"7450_CUYAMS_TAFT_70_1",-28.14,"10-3"
10,"7690-INYOKN_VOLTAGE_EX_NG",-920.46,"10-3"
10,"TL687_BREGGO_NAROWS",-34.81,"10-3"
