"","OPR_DT","OPR_HR","OPR_INTERVAL","NOMOGRAM_ID","CONSTRAINT_CAUSE","PRC","MARKET_RUN_ID"
"1","2024-04-30",17,8,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",61.6967,"RTD"
"2","2024-04-30",10,1,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",51.49311,"RTD"
"3","2024-04-30",11,1,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",59.80591,"RTD"
"4","2024-04-30",12,1,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",75.75739,"RTD"
"5","2024-04-30",13,1,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",68.87555,"RTD"
"6","2024-04-30",14,1,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",57.23716,"RTD"
"7","2024-04-30",15,1,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",42.71038,"RTD"
"8","2024-04-30",16,1,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",65.82301,"RTD"
"9","2024-04-30",17,1,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",62.64238,"RTD"
"10","2024-04-30",10,2,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",51.59228,"RTD"
"11","2024-04-30",11,2,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",59.35139,"RTD"
"12","2024-04-30",12,2,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",73.49007,"RTD"
"13","2024-04-30",13,2,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",60.51096,"RTD"
"14","2024-04-30",14,2,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",57.01313,"RTD"
