"","OPR_DT","OPR_HR","OPR_INTERVAL","TI_ID","TI_DIRECTION","CONSTRAINT_CAUSE","MW","MARKET_RUN_ID"
"1","2024-05-01",14,1,"BLYTHE_ITC","E","Base Case",-8e-04,"RTPD"
"2","2024-05-01",18,1,"BLYTHE_ITC","E","Base Case",-4e-04,"RTPD"
"3","2024-05-01",9,2,"BLYTHE_ITC","E","Base Case",-4e-04,"RTPD"
"4","2024-05-01",14,2,"BLYTHE_ITC","E","Base Case",-4e-04,"RTPD"
"5","2024-05-01",18,2,"BLYTHE_ITC","E","Base Case",-4e-04,"RTPD"
"6","2024-05-01",9,3,"BLYTHE_ITC","E","Base Case",-4e-04,"RTPD"
"7","2024-05-01",14,3,"BLYTHE_ITC","E","Base Case",-4e-04,"RTPD"
"8","2024-05-01",17,3,"BLYTHE_ITC","E","Base Case",-4e-04,"RTPD"
"9","2024-05-01",18,3,"BLYTHE_ITC","E","Base Case",-4e-04,"RTPD"
"10","2024-05-01",9,4,"BLYTHE_ITC","E","Base Case",-4e-04,"RTPD"
"11","2024-05-01",14,4,"BLYTHE_ITC","E","Base Case",-4e-04,"RTPD"
"12","2024-05-01",17,4,"BLYTHE_ITC","E","Base Case",-4e-04,"RTPD"
"13","2024-05-01",15,1,"EPE_SNMIC_ITC","I","Base Case",-14.72761,"RTPD"
"14","2024-05-01",17,1,"EPE_SNMIC_ITC","I","Base Case",-16.7416,"RTPD"
"15","2024-05-01",18,1,"EPE_SNMIC_ITC","I","Base Case",-13.4683,"RTPD"
"16","2024-05-01",15,2,"EPE_SNMIC_ITC","I","Base Case",-16.61861,"RTPD"
"17","2024-05-01",17,2,"EPE_SNMIC_ITC","I","Base Case",-15.20972,"RTPD"
"18","2024-05-01",18,2,"EPE_SNMIC_ITC","I","Base Case",-5.3979,"RTPD"
"19","2024-05-01",15,3,"EPE_SNMIC_ITC","I","Base Case",-17.40915,"RTPD"
"20","2024-05-01",17,3,"EPE_SNMIC_ITC","I","Base Case",-13.76122,"RTPD"
"21","2024-05-01",17,4,"EPE_SNMIC_ITC","I","Base Case",-9.62923,"RTPD"
"22","2024-05-01",8,1,"LDWP_IPP_NORTH","E","Base Case",-11.01074,"RTPD"
"23","2024-05-01",17,1,"LDWP_IPP_NORTH","E","Base Case",-3.62046,"RTPD"
"24","2024-05-01",19,1,"LDWP_IPP_NORTH","E","Base Case",-1.57341,"RTPD"
"25","2024-05-01",8,2,"LDWP_IPP_NORTH","E","Base Case",-17.23721,"RTPD"
"26","2024-05-01",17,2,"LDWP_IPP_NORTH","E","Base Case",-5.57997,"RTPD"
"27","2024-05-01",8,3,"LDWP_IPP_NORTH","E","Base Case",-28.81166,"RTPD"
"28","2024-05-01",17,3,"LDWP_IPP_NORTH","E","Base Case",-6.38197,"RTPD"
"29","2024-05-01",18,3,"LDWP_IPP_NORTH","E","Base Case",-3.42838,"RTPD"
"30","2024-05-01",7,4,"LDWP_IPP_NORTH","E","Base Case",-5.51628,"RTPD"
"31","2024-05-01",8,4,"LDWP_IPP_NORTH","E","Base Case",-5.35548,"RTPD"
"32","2024-05-01",17,4,"LDWP_IPP_NORTH","E","Base Case",-9.95418,"RTPD"
"33","2024-05-01",18,4,"LDWP_IPP_NORTH","E","Base Case",-1.71857,"RTPD"
"34","2024-05-01",18,2,"Line_MA-OD_69KV","I","AP1 AR-OD 69",90.41628,"RTPD"
"35","2024-05-01",10,1,"MALIN500_ISL","E","Base Case",-8.21318,"RTPD"
"36","2024-05-01",12,1,"MALIN500_ISL","E","Base Case",-20.92446,"RTPD"
"37","2024-05-01",13,1,"MALIN500_ISL","E","Base Case",-22.31263,"RTPD"
"38","2024-05-01",10,2,"MALIN500_ISL","E","Base Case",-13.09946,"RTPD"
"39","2024-05-01",12,2,"MALIN500_ISL","E","Base Case",-20.07814,"RTPD"
"40","2024-05-01",13,2,"MALIN500_ISL","E","Base Case",-22.08178,"RTPD"
"41","2024-05-01",12,3,"MALIN500_ISL","E","Base Case",-27.02921,"RTPD"
"42","2024-05-01",9,1,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",78.98057,"RTPD"
"43","2024-05-01",10,1,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",69.18119,"RTPD"
"44","2024-05-01",11,1,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",59.39833,"RTPD"
"45","2024-05-01",12,1,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",58.99231,"RTPD"
"46","2024-05-01",13,1,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",59.13238,"RTPD"
"47","2024-05-01",14,1,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",59.16519,"RTPD"
"48","2024-05-01",15,1,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",132.61562,"RTPD"
"49","2024-05-01",16,1,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",55.61018,"RTPD"
"50","2024-05-01",17,1,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",55.07994,"RTPD"
"51","2024-05-01",18,1,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",58.70242,"RTPD"
"52","2024-05-01",8,2,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",81.90617,"RTPD"
"53","2024-05-01",9,2,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",78.9166,"RTPD"
"54","2024-05-01",11,2,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",59.36275,"RTPD"
"55","2024-05-01",12,2,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",59.12885,"RTPD"
"56","2024-05-01",13,2,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",59.2157,"RTPD"
"57","2024-05-01",14,2,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",58.69643,"RTPD"
"58","2024-05-01",15,2,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",55.84427,"RTPD"
"59","2024-05-01",16,2,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",55.74281,"RTPD"
"60","2024-05-01",17,2,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",56.06125,"RTPD"
"61","2024-05-01",18,2,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",140.81532,"RTPD"
"62","2024-05-01",8,3,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",74.32474,"RTPD"
"63","2024-05-01",9,3,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",77.13114,"RTPD"
"64","2024-05-01",11,3,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",59.28179,"RTPD"
"65","2024-05-01",12,3,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",56.44218,"RTPD"
"66","2024-05-01",13,3,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",58.71541,"RTPD"
"67","2024-05-01",14,3,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",57.25508,"RTPD"
"68","2024-05-01",15,3,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",55.15199,"RTPD"
"69","2024-05-01",16,3,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",58.71334,"RTPD"
"70","2024-05-01",17,3,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",132.16586,"RTPD"
"71","2024-05-01",18,3,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",73.2174,"RTPD"
"72","2024-05-01",9,4,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",67.49612,"RTPD"
"73","2024-05-01",10,4,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",59.24343,"RTPD"
"74","2024-05-01",11,4,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",56.37252,"RTPD"
"75","2024-05-01",12,4,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",58.17797,"RTPD"
"76","2024-05-01",13,4,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",58.67406,"RTPD"
"77","2024-05-01",14,4,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",56.02786,"RTPD"
"78","2024-05-01",15,4,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",55.26092,"RTPD"
"79","2024-05-01",16,4,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",58.99628,"RTPD"
"80","2024-05-01",17,4,"ME-JF 138","I","VE1 VEAVST-PAHRUM 138",60.1029,"RTPD"
"81","2024-05-01",9,1,"NWMT_AMPS_EAST","I","Base Case",-20.67699,"RTPD"
